location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Ankara","Ankara",8,33.6,41.3,8.6352,9.5892,6.4431,33.6,33.6,.01,6.554913
"Ankara","Ankara",7.5,33.55,39.3,6.7219,7.464523,6.1805,33.55,33.55,.01,6.289561
"Ankara","Ankara",7,34.15,41.05,2.9345,3.258698,5.3589,34.15,34.15,0,5.458745
"Ankara","Ankara",7.5,33,40.3,23.08,25.62984,7.5378,33,33,0,7.66047
"Ankara","Ankara",7.5,34.25,40.45,6.4994,7.217442,6.1457,34.25,34.25,0,6.254406
"Ankara","Ankara",7.5,32.7,39.2,6.319,7.017111,6.1167,32.7,32.7,0,6.2251
"Ankara","Ankara",7.5,32.6,40.55,9.793,10.87491,6.5775,32.6,32.6,.01,6.690707
"Ankara","Ankara",6,31.55,39.5,.61657,.6846875,4.0091,31.55,31.55,.01,4.091723
"Ankara","Ankara",7.5,32.45,39.25,6.166,6.847208,6.0916,32.45,32.45,0,6.199649
"Ankara","Ankara",7,32,40.35,4.0397,4.485999,5.6671,32,32,0,5.770547
"Ankara","Ankara",6.5,32.65,39,1.5388,1.708804,4.7692,32.65,32.65,0,4.86193
"Ankara","Ankara",7.5,31.75,40.45,5.8851,6.535275,6.0438,31.75,31.75,0,6.15141
"Ankara","Ankara",7.5,31.85,40.95,5.2085,5.783925,5.9199,31.85,31.85,0,6.026143
"Ankara","Ankara",6.5,33.8,40.75,2.2145,2.459154,5.0963,33.8,33.8,.01,5.193068
"Ankara","Ankara",7.5,34.55,40.25,5.6565,6.281419,6.0035,34.55,34.55,.01,6.110602
"Ankara","Ankara",7.5,34.75,40.35,5.0775,5.638453,5.8943,34.75,34.75,0,6.000215
"Ankara","Ankara",7,34.3,39.95,3.7019,4.110879,5.5818,34.3,34.3,.01,5.684291
"Ankara","Ankara",6,32.3,39.55,1.0442,1.159561,4.4362,32.3,32.3,.01,4.524601
"Ankara","Ankara",6.5,33.45,39.75,3.8869,4.316317,5.6294,33.45,33.45,0,5.732361
"Ankara","Ankara",6,34.8,40.15,.63196,.7017777,4.0285,34.8,34.8,.01,4.111326
"Ankara","Ankara",7.5,33.15,39.95,22.685,25.19119,7.5177,33.15,33.15,0,7.640177
"Ankara","Ankara",6,32.25,41.15,.69638,.7733148,4.1052,32.25,32.25,0,4.189134
"Ankara","Ankara",8,32.5,41.15,9.2567,10.27936,6.5171,32.5,32.5,0,6.629716
"Ankara","Ankara",7,33.2,39.9,12.244,13.59669,6.8202,33.2,33.2,0,6.9359
"Ankara","Ankara",6.5,32.4,41.3,1.416,1.572437,4.6964,32.4,32.4,0,4.78824
"Ankara","Ankara",6,32.95,40.75,1.442,1.601309,4.7123,32.95,32.95,0,4.804299
"Ankara","Ankara",6,33.55,40.95,.97355,1.081106,4.3777,33.55,33.55,.01,4.465348
"Ankara","Ankara",8,31.45,40.45,8.3757,9.301031,6.4108,31.45,31.45,0,6.522234
"Ankara","Ankara",6,33.75,39.3,.88141,.9787865,4.2956,33.75,33.75,0,4.382145
"Ankara","Ankara",6,32.7,39.25,.92949,1.032178,4.3393,32.7,32.7,0,4.426462
"Ankara","Ankara",6.5,33.25,39.2,1.9396,2.153883,4.9756,33.25,33.25,0,5.070877
"Ankara","Ankara",6,34.25,40.05,.97199,1.079374,4.3764,34.25,34.25,0,4.463998
"Ankara","Ankara",6,33.5,41.2,.75774,.8414537,4.1727,33.5,33.5,0,4.257632
"Ankara","Ankara",8,33.9,40.1,13.728,15.24464,6.9465,33.9,33.9,0,7.06352
"Ankara","Ankara",7.5,32.95,40.4,16.362,18.16964,7.1431,32.95,32.95,0,7.262012
"Ankara","Ankara",7,31.95,39.95,3.914,4.346411,5.6362,31.95,31.95,0,5.73923
"Ankara","Ankara",6.5,31.8,40.05,1.8416,2.045056,4.9289,31.8,31.8,.01,5.023585
"Ankara","Ankara",6,32.25,41.2,.66959,.743565,4.074,32.25,32.25,0,4.157569
"Ankara","Ankara",7,32.7,41.1,3.4791,3.863464,5.5217,32.7,32.7,0,5.623467
"Ankara","Ankara",7,32.4,40.05,6.2104,6.896513,6.0989,32.4,32.4,0,6.207093
"Ankara","Ankara",6.5,33.5,39.35,2.1642,2.403297,5.0753,33.5,33.5,0,5.171754
"Ankara","Ankara",7,33.35,39.7,6.8675,7.626208,6.2027,33.35,33.35,.01,6.312004
"Ankara","Ankara",7,32.8,41.3,3.0097,3.342206,5.3829,32.8,32.8,.01,5.483035
"Ankara","Ankara",7.5,34.35,39.25,5.0066,5.55972,5.8801,34.35,34.35,.01,5.98593
"Ankara","Ankara",8,32.2,41.05,9.1056,10.11157,6.4996,32.2,32.2,0,6.611957
"Ankara","Ankara",8,33.4,40.6,15.364,17.06139,7.0722,33.4,33.4,0,7.190468
"Ankara","Ankara",7,32.35,41.2,2.9708,3.299008,5.3705,32.35,32.35,.01,5.470538
"Ankara","Ankara",6.5,34.35,39.35,1.456,1.616856,4.7207,34.35,34.35,.01,4.812841
"Ankara","Ankara",6,32.5,39,.6859,.7616769,4.0931,32.5,32.5,0,4.176914
"Ankara","Ankara",8,33.05,41,10.94,12.14863,6.6972,33.05,33.05,.01,6.811628
"Ankara","Ankara",7.5,33.1,39.4,7.9498,8.828079,6.3557,33.1,33.1,.01,6.466569
"Ankara","Ankara",6.5,33.75,38.95,1.4094,1.565108,4.6924,33.75,33.75,0,4.784122
"Ankara","Ankara",7,33.7,40.05,6.8622,7.620323,6.2019,33.7,33.7,0,6.311194
"Ankara","Ankara",8,33.05,41.4,8.4613,9.396089,6.4215,33.05,33.05,.01,6.533114
"Ankara","Ankara",6,33.15,38.85,.64766,.7192123,4.0477,33.15,33.15,0,4.130903
"Ankara","Ankara",6,31.55,40.15,.71377,.7926259,4.1248,31.55,31.55,.01,4.209064
"Ankara","Ankara",6,31.5,40.2,.68762,.7635869,4.0951,31.5,31.5,0,4.17893
"Ankara","Ankara",6,34.5,40.2,.78354,.870104,4.1997,34.5,34.5,0,4.284999
"Ankara","Ankara",8,34.1,40.6,10.665,11.84325,6.6696,34.1,34.1,.01,6.783719
"Ankara","Ankara",6.5,32.25,40.55,2.3899,2.653932,5.1666,32.25,32.25,0,5.264179
"Ankara","Ankara",7,34,39.8,4.4365,4.926636,5.7595,34,34,0,5.863992
"Ankara","Ankara",8,33.4,41.2,9.3548,10.3883,6.5284,33.4,33.4,0,6.641107
"Ankara","Ankara",7,34.65,40.05,2.9904,3.320774,5.3768,34.65,34.65,0,5.476853
"Ankara","Ankara",7.5,31.55,40.3,5.4203,6.019125,5.9602,31.55,31.55,.01,6.066852
"Ankara","Ankara",7.5,34.25,39.45,5.6597,6.284973,6.004,34.25,34.25,0,6.111183
"Ankara","Ankara",7,32.75,41.05,3.6711,4.076676,5.5737,32.75,32.75,0,5.676081
"Ankara","Ankara",6,33.8,40.15,1.6898,1.876486,4.852,33.8,33.8,.01,4.945744
"Ankara","Ankara",6.5,31.7,40.4,1.6635,1.84728,4.838,31.7,31.7,0,4.931634
"Ankara","Ankara",7,33.1,41.15,3.4592,3.841366,5.5162,33.1,33.1,.01,5.617867
"Ankara","Ankara",7.5,34.15,39.85,6.9813,7.752581,6.2198,34.15,34.15,0,6.329249
"Ankara","Ankara",6,31.95,40.65,.84645,.9399642,4.2625,31.95,31.95,0,4.348576
"Ankara","Ankara",7.5,31.75,40.6,5.6641,6.289859,6.0048,31.75,31.75,0,6.111982
"Ankara","Ankara",8,34.2,40.9,9.0859,10.08969,6.4972,34.2,34.2,0,6.609622
"Ankara","Ankara",6,31.5,40.35,.67732,.752149,4.0831,31.5,31.5,0,4.166788
"Ankara","Ankara",7,33.15,39.85,10.801,11.99427,6.6833,33.15,33.15,0,6.797602
