location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Artvin","ArtvİN",6.5,42.45,42,1.972,2.189863,4.9906,42.45,42.45,0,5.086048
"Artvin","ArtvİN",6.5,41.3,41.15,3.1702,3.520438,5.4324,41.3,41.3,.01,5.533121
"Artvin","ArtvİN",7.5,42.9,41.45,8.1528,9.053506,6.3822,42.9,42.9,0,6.493428
"Artvin","ArtvİN",6.5,40.65,41.3,1.6834,1.869379,4.8486,40.65,40.65,0,4.942328
"Artvin","ArtvİN",6,40.45,40.65,.63194,.7017555,4.0284,40.45,40.45,0,4.111301
"Artvin","ArtvİN",6,42,41.4,3.498,3.884452,5.5269,42,42,0,5.62876
"Artvin","ArtvİN",6.5,42.4,39.9,1.4525,1.612969,4.7186,42.4,42.4,0,4.810713
"Artvin","ArtvİN",7.5,42.7,40.5,7.5021,8.330917,6.2948,42.7,42.7,0,6.405079
"Artvin","ArtvİN",7.5,41.65,39.95,5.3205,5.908298,5.9414,41.65,41.65,0,6.047851
"Artvin","ArtvİN",6,43.4,41.65,.74482,.8271063,4.1589,43.4,43.4,0,4.243621
"Artvin","ArtvİN",7,43.65,41.3,2.975,3.303672,5.3719,43.65,43.65,0,5.471894
"Artvin","ArtvİN",8,43.4,41.6,9.2746,10.29924,6.5192,43.4,43.4,0,6.631803
"Artvin","ArtvİN",8,41,41.1,11.551,12.82713,6.7564,41,41,0,6.871435
"Artvin","ArtvİN",6,41.65,39.95,.68807,.7640867,4.0956,41.65,41.65,0,4.179457
"Artvin","ArtvİN",8,41.65,41.85,11.667,12.95595,6.7673,41.65,41.65,0,6.882465
"Artvin","ArtvİN",8,42.95,40.3,9.5608,10.61706,6.5517,42.95,42.95,0,6.66468
"Artvin","ArtvİN",6,43.4,41.55,.77746,.8633523,4.1934,43.4,43.4,0,4.278621
"Artvin","ArtvİN",6,43.5,40.6,.69459,.771327,4.1031,43.5,43.5,0,4.187058
"Artvin","ArtvİN",6,40.65,41.4,.76927,.8542575,4.1849,40.65,40.65,0,4.269961
"Artvin","ArtvİN",6.5,42,41.7,3.1569,3.505668,5.4284,42,42,0,5.529057
"Artvin","ArtvİN",8,43.4,41.45,9.5989,10.65937,6.556,43.4,43.4,0,6.668989
"Artvin","ArtvİN",7.5,42.05,40.6,10.344,11.48678,6.6365,42.05,42.05,.01,6.750307
"Artvin","ArtvİN",7.5,42.95,41,8.43,9.361331,6.4176,42.95,42.95,0,6.529147
"Artvin","ArtvİN",8,41.65,41.15,21.689,24.08516,7.4655,41.65,41.65,0,7.587544
"Artvin","ArtvİN",6,43.4,41.45,.80612,.8951786,4.2227,43.4,43.4,0,4.308314
"Artvin","ArtvİN",6,41,40.15,.65724,.7298506,4.0593,41,41,0,4.142647
"Artvin","ArtvİN",6.5,42.5,41.8,2.4286,2.696907,5.1815,42.5,42.5,0,5.279243
"Artvin","ArtvİN",8,42.3,40.6,14.89,16.53502,7.0371,42.3,42.3,.01,7.155
"Artvin","ArtvİN",6.5,41.05,41.85,1.7271,1.917907,4.8714,41.05,41.05,.01,4.965426
"Artvin","ArtvİN",6,41.65,41.25,2.8725,3.189848,5.3386,41.65,41.65,0,5.438298
