location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Amasya","Amasya",8,34.6,40.45,10.245,11.37685,6.6261,34.6,34.6,.01,6.739813
"Amasya","Amasya",7,34.4,40.2,3.0305,3.365304,5.3894,34.4,34.4,0,5.489658
"Amasya","Amasya",8,34.6,39.9,8.7742,9.743558,6.4601,34.6,34.6,.01,6.572055
"Amasya","Amasya",7,35.95,41.95,2.7744,3.08091,5.3059,35.95,35.95,0,5.40513
"Amasya","Amasya",7.5,36.8,40.4,7.5759,8.412871,6.3051,36.8,36.8,.01,6.415439
"Amasya","Amasya",8,35.3,41.05,14.61,16.22408,7.016,35.3,35.3,.01,7.133564
"Amasya","Amasya",8,36,40,13.148,14.60057,6.8988,36,36,0,7.015202
"Amasya","Amasya",8,34.8,40.5,11.588,12.86822,6.7599,34.8,34.8,.01,6.874964
"Amasya","Amasya",6.5,34.4,40.75,1.6653,1.849279,4.839,34.4,34.4,0,4.932606
"Amasya","Amasya",6.5,36,40.05,2.9777,3.306671,5.3727,36,36,0,5.472765
"Amasya","Amasya",8,34.4,40.3,9.0763,10.07903,6.4961,34.4,34.4,0,6.608482
"Amasya","Amasya",6.5,35.7,41.9,1.4473,1.607195,4.7155,35.7,35.7,0,4.807541
"Amasya","Amasya",8,36.35,41.5,10.426,11.57784,6.645,36.35,36.35,.01,6.75893
"Amasya","Amasya",6.5,34.95,41.8,1.3652,1.516025,4.6647,34.95,34.95,0,4.756099
"Amasya","Amasya",6,34.95,41.75,.64592,.71728,4.0456,34.95,34.95,0,4.128754
"Amasya","Amasya",7,37.05,41.5,2.8789,3.196955,5.3407,37.05,37.05,.01,5.440427
"Amasya","Amasya",8,34.95,41.65,8.7928,9.764212,6.4623,34.95,34.95,0,6.57433
"Amasya","Amasya",6,34.95,41.6,.72507,.8051744,4.1374,34.95,34.95,0,4.221788
"Amasya","Amasya",8,34.95,41.55,9.2237,10.24272,6.5133,34.95,34.95,0,6.62586
"Amasya","Amasya",7.5,34.95,41.55,5.6773,6.304517,6.0072,34.95,34.95,0,6.114376
"Amasya","Amasya",6.5,34.95,41.45,1.7479,1.941005,4.8821,34.95,34.95,0,4.97624
"Amasya","Amasya",8,35.85,40.45,28.913,32.10725,7.803,35.85,35.85,.01,7.928237
"Amasya","Amasya",7.5,34.8,39.8,5.5146,6.123842,5.9777,34.8,34.8,.01,6.08452
"Amasya","Amasya",7.5,34.95,41.35,6.3758,7.080186,6.1259,34.95,34.95,0,6.234407
"Amasya","Amasya",6,34.95,41.35,.89007,.9884033,4.3036,34.95,34.95,0,4.390281
"Amasya","Amasya",6,34.95,41.2,1.0087,1.120139,4.4072,34.95,34.95,0,4.495282
"Amasya","Amasya",6,35.85,39.5,.73071,.8114375,4.1436,35.85,35.85,.01,4.228076
"Amasya","Amasya",7.5,34.95,41.1,7.3643,8.177894,6.2754,34.95,34.95,0,6.385488
